ID,Body,Team,Accessories,Jersey,Hair,Role,Number,Dunks,Shooting,Playmaking,Defense,Image url,Title,Description,URL,Overall
443,Human IV,Las Vegas Scorpions,None,Away,Brown Moptop,Player,60,84,91,66,83,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/443.png,BALLER #443,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//443,81
444,Human IV,Tallahassee Tarantulas,None,Away,Afro,Player,74,72,83,81,82,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/444.png,BALLER #444,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//444,79.5
445,Human II,San Diego Keepers,None,Away,Brown Taper,Player,53,84,81,80,74,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/445.png,BALLER #445,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//445,79.75
446,Human V,San Diego Keepers,None,Away,Red Crew,Player,99,94,76,76,93,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/446.png,BALLER #446,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//446,84.75
447,Human II,Portland Bats,None,Away,Brown Pompadour,Player,30,72,83,74,92,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/447.png,BALLER #447,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//447,80.25
448,Human III,Portland Bats,None,Away,Blonde Crewcut,Player,41,77,81,84,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/448.png,BALLER #448,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//448,80
449,Human V,Portland Bats,None,Away,Striped,Player,46,90,84,82,89,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/449.png,BALLER #449,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//449,86.25
450,Human II,Boulder Elks,None,Away,Very Thin,Player,65,75,92,80,66,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/450.png,BALLER #450,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//450,78.25
451,Human V,Alaska Whales,None,Away,Crazy Orange,Player,89,93,81,67,84,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/451.png,BALLER #451,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//451,81.25
452,Human V,Helena Pronghorns,None,Away,Brown Moptop,Player,92,77,93,73,70,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/452.png,BALLER #452,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//452,78.25
453,Human II,Iowa City Rattlesnakes,Armband Headband,Away,Striped,Player,1,86,85,99,80,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/453.png,BALLER #453,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//453,87.5
454,Human V,Portland Bats,None,Away,Brown Taper,Player,83,72,68,76,93,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/454.png,BALLER #454,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//454,77.25
455,Human III,San Diego Keepers,None,Away,Black Moptop,Player,88,66,76,77,67,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/455.png,BALLER #455,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//455,71.5
456,Human V,Portland Bats,None,Away,Brown Cowlick,Player,43,73,63,78,76,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/456.png,BALLER #456,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//456,72.5
457,Human I,Las Vegas Scorpions,None,Away,Brown Taper,Player,99,88,86,81,89,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/457.png,BALLER #457,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//457,86
458,Human II,Portland Bats,None,Away,Black Moptop,Player,18,84,99,85,98,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/458.png,BALLER #458,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//458,91.5
459,Human I,Iowa City Rattlesnakes,None,Away,Brown Taper,Player,34,92,82,81,69,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/459.png,BALLER #459,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//459,81
460,Human II,Portland Bats,None,Away,Thinning,Player,80,80,81,86,73,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/460.png,BALLER #460,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//460,80
461,Human IV,Iowa City Rattlesnakes,None,Away,Spiked,Player,53,77,80,88,66,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/461.png,BALLER #461,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//461,77.75
462,Human II,Iowa City Rattlesnakes,None,Away,Brown Pompadour,Player,7,75,86,82,75,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/462.png,BALLER #462,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//462,79.5
463,Human V,San Diego Keepers,None,Away,Black Moptop,Player,100,65,84,86,77,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/463.png,BALLER #463,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//463,78
464,Human I,Portland Bats,None,Away,Crazy Orange,Player,94,94,77,60,88,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/464.png,BALLER #464,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//464,79.75
465,Human II,Tallahassee Tarantulas,None,Away,Bedhead,Player,8,75,78,63,72,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/465.png,BALLER #465,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//465,72
466,Human I,Alaska Whales,None,Away,Light Brown Short,Player,41,88,90,84,76,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/466.png,BALLER #466,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//466,84.5
467,Human III,Las Vegas Scorpions,None,Away,Purple Cowlick,Player,31,76,77,83,81,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/467.png,BALLER #467,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//467,79.25
468,Human II,Las Vegas Scorpions,None,Away,Shaved,Player,89,76,70,72,91,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/468.png,BALLER #468,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//468,77.25
469,Human I,Boulder Elks,None,Away,Shaved,Player,14,68,96,84,65,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/469.png,BALLER #469,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//469,78.25
470,Human III,Helena Pronghorns,None,Away,Brown Taper,Player,28,96,73,93,77,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/470.png,BALLER #470,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//470,84.75
471,Human I,San Diego Keepers,None,Away,Crazy Blue,Player,38,85,91,89,77,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/471.png,BALLER #471,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//471,85.5
472,Human II,Portland Bats,None,Away,Blonde Short,Player,16,83,74,74,96,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/472.png,BALLER #472,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//472,81.75
473,Human V,Portland Bats,None,Away,Patchy,Player,12,61,80,60,83,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/473.png,BALLER #473,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//473,71
474,Human II,Tallahassee Tarantulas,None,Away,Light Brown Short,Player,83,89,66,66,93,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/474.png,BALLER #474,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//474,78.5
475,Human IV,Portland Bats,None,Away,Crazy Purple,Player,45,70,75,82,70,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/475.png,BALLER #475,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//475,74.25
476,Human I,Portland Bats,None,Away,Thinning,Player,32,82,67,94,73,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/476.png,BALLER #476,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//476,79
477,Human I,Helena Pronghorns,None,Away,Cheetah,Player,33,83,84,86,67,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/477.png,BALLER #477,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//477,80
478,Human I,Alaska Whales,None,Away,Brown Moptop,Player,10,83,85,84,74,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/478.png,BALLER #478,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//478,81.5
479,Human IV,Tallahassee Tarantulas,None,Away,Brown Short,Player,17,81,78,80,94,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/479.png,BALLER #479,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//479,83.25
480,Human III,Portland Bats,None,Away,Blonde Short,Player,5,68,78,83,86,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/480.png,BALLER #480,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//480,78.75
481,Human III,San Diego Keepers,None,Away,Brown Moptop,Player,2,73,81,78,83,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/481.png,BALLER #481,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//481,78.75
482,Human III,Iowa City Rattlesnakes,None,Away,Blonde Crewcut,Player,13,75,66,85,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/482.png,BALLER #482,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//482,76
483,Human III,Alaska Whales,None,Away,Purple Cowlick,Player,40,67,70,82,67,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/483.png,BALLER #483,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//483,71.5
484,Human IV,Boulder Elks,None,Away,Light Brown Short,Player,33,73,77,75,88,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/484.png,BALLER #484,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//484,78.25
485,Human II,Helena Pronghorns,None,Away,Bedhead,Player,18,85,75,74,76,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/485.png,BALLER #485,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//485,77.5
486,Human III,Portland Bats,None,Away,Blonde Crewcut,Player,46,90,80,78,83,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/486.png,BALLER #486,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//486,82.75
487,Human V,Tallahassee Tarantulas,None,Away,Brown Taper,Player,9,84,80,85,86,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/487.png,BALLER #487,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//487,83.75
488,Human I,Las Vegas Scorpions,None,Away,Bedhead,Player,51,89,82,88,81,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/488.png,BALLER #488,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//488,85
489,Human III,Helena Pronghorns,None,Away,Blonde Crewcut,Player,60,78,88,72,81,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/489.png,BALLER #489,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//489,79.75
490,Human III,Alaska Whales,None,Away,Very Thin,Player,14,86,76,94,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/490.png,BALLER #490,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//490,83.5
491,Human II,Alaska Whales,None,Away,Brown Taper,Player,18,78,72,60,77,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/491.png,BALLER #491,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//491,71.75
492,Human I,San Diego Keepers,None,Away,Spiked,Player,3,92,68,77,68,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/492.png,BALLER #492,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//492,76.25
493,Human IV,Las Vegas Scorpions,None,Away,Black Taper,Player,70,77,78,86,66,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/493.png,BALLER #493,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//493,76.75
494,Human II,Boulder Elks,None,Away,Black Pompadour,Player,98,88,84,65,83,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/494.png,BALLER #494,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//494,80
495,Human II,Alaska Whales,None,Away,Bedhead,Player,76,78,76,81,82,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/495.png,BALLER #495,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//495,79.25
496,Human II,Iowa City Rattlesnakes,None,Away,Brown Taper,Player,50,74,85,72,84,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/496.png,BALLER #496,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//496,78.75
497,Human I,Iowa City Rattlesnakes,None,Away,Blonde Short,Player,1,93,81,91,73,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/497.png,BALLER #497,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//497,84.5
498,Human III,Tallahassee Tarantulas,None,Away,Light Brown Short,Player,7,82,78,88,65,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/498.png,BALLER #498,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//498,78.25
499,Human I,Tallahassee Tarantulas,None,Away,Brown Short,Player,29,69,84,81,76,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/499.png,BALLER #499,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//499,77.5
501,Human III,Iowa City Rattlesnakes,None,Away,Light Brown Short,Player,36,80,67,90,72,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/501.png,BALLER #501,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//501,77.25
502,Human I,Iowa City Rattlesnakes,None,Away,Brown Cowlick,Player,63,89,75,82,85,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/502.png,BALLER #502,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//502,82.75
503,Human V,Boulder Elks,None,Away,Black Moptop,Player,2,72,90,86,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/503.png,BALLER #503,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//503,81.5
504,Human I,Tallahassee Tarantulas,None,Away,Blonde Crew,Player,33,72,94,86,75,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/504.png,BALLER #504,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//504,81.75
505,Human IV,Helena Pronghorns,None,Away,Cheetah,Player,87,76,68,93,72,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/505.png,BALLER #505,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//505,77.25
506,Human III,Iowa City Rattlesnakes,None,Away,Cheetah,Player,27,80,60,93,90,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/506.png,BALLER #506,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//506,80.75
507,Human II,Tallahassee Tarantulas,None,Away,Black Pompadour,Player,7,67,92,86,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/507.png,BALLER #507,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//507,80.75
508,Human IV,San Diego Keepers,None,Away,Blonde Short,Player,95,75,75,82,85,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/508.png,BALLER #508,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//508,79.25
509,Human IV,Helena Pronghorns,Armband Headband,Away,Crazy Purple,Player,72,72,81,61,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/509.png,BALLER #509,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//509,73
510,Human II,Las Vegas Scorpions,None,Away,Striped,Player,52,86,75,70,73,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/510.png,BALLER #510,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//510,76
511,Human II,Tallahassee Tarantulas,Armband Headband,Away,Cheetah,Player,93,68,72,84,98,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/511.png,BALLER #511,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//511,80.5
512,Human II,Boulder Elks,None,Away,Bedhead,Player,72,90,61,78,74,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/512.png,BALLER #512,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//512,75.75
513,Human III,Tallahassee Tarantulas,None,Away,Black Pompadour,Player,20,76,85,75,80,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/513.png,BALLER #513,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//513,79
514,Human V,Las Vegas Scorpions,None,Away,Bedhead,Player,62,80,60,77,80,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/514.png,BALLER #514,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//514,74.25
515,Human IV,San Diego Keepers,None,Away,Blonde Crewcut,Player,10,68,72,74,82,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/515.png,BALLER #515,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//515,74
516,Human II,Portland Bats,None,Away,Thinning,Player,92,84,90,86,86,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/516.png,BALLER #516,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//516,86.5
517,Human V,Helena Pronghorns,None,Away,Red Crew,Player,90,80,88,86,82,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/517.png,BALLER #517,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//517,84
518,Human IV,Portland Bats,Armband Headband,Away,Black Taper,Player,29,94,98,86,98,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/518.png,BALLER #518,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//518,94
519,Human III,San Diego Keepers,None,Away,Very Thin,Player,32,83,84,92,68,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/519.png,BALLER #519,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//519,81.75
520,Human IV,Alaska Whales,None,Away,Spiked,Player,44,74,72,84,82,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/520.png,BALLER #520,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//520,78
521,Human V,Boulder Elks,None,Away,Black Moptop,Player,46,81,86,90,86,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/521.png,BALLER #521,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//521,85.75
522,Human III,Boulder Elks,None,Away,Bedhead,Player,1,80,80,67,80,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/522.png,BALLER #522,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//522,76.75
523,Human I,Iowa City Rattlesnakes,None,Away,Brown Short,Player,2,78,63,75,76,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/523.png,BALLER #523,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//523,73
524,Human I,Tallahassee Tarantulas,None,Away,Blonde Short,Player,38,85,90,67,73,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/524.png,BALLER #524,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//524,78.75
525,Human V,Tallahassee Tarantulas,None,Away,Cheetah,Player,85,76,82,73,73,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/525.png,BALLER #525,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//525,76
526,Human II,San Diego Keepers,Armband Headband,Away,Very Thin,Player,49,67,81,80,80,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/526.png,BALLER #526,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//526,77
527,Human I,Alaska Whales,None,Away,Thinning,Player,95,80,86,73,80,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/527.png,BALLER #527,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//527,79.75
528,Human V,Boulder Elks,Armband Headband,Away,Black Taper,Player,82,85,82,91,77,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/528.png,BALLER #528,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//528,83.75
529,Human V,Iowa City Rattlesnakes,None,Away,Cheetah,Player,37,84,65,84,61,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/529.png,BALLER #529,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//529,73.5
530,Human V,Helena Pronghorns,None,Away,Blonde Short,Player,41,74,70,77,61,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/530.png,BALLER #530,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//530,70.5
531,Human II,Boulder Elks,None,Away,Brown Taper,Player,48,74,72,93,78,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/531.png,BALLER #531,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//531,79.25
532,Human V,Alaska Whales,None,Away,Brown Taper,Player,11,80,72,92,94,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/532.png,BALLER #532,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//532,84.5
533,Human IV,Boulder Elks,None,Away,Striped,Player,20,72,76,94,81,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/533.png,BALLER #533,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//533,80.75
534,Human III,Alaska Whales,None,Away,Brown Taper,Player,83,88,74,81,85,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/534.png,BALLER #534,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//534,82
535,Human III,Tallahassee Tarantulas,None,Away,Brown Cowlick,Player,24,97,93,72,72,ipfs://QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/535.png,BALLER #535,A basketball-inspired generative NFT living on the Flow blockchain,https://ongaia.com/collection/ballerz//535,83.5
